Sugar	4
_23__45__cyclic__45__nucloetide__45__PO4	1
RNASE__45__R__45__DEGRADATION__45__SUBSTRATE__45__RNA	1
D__45__3__45__HYDROXYACYL__45__COA	6
NARINGIN	1
CPD__45__12335	2
CPD__45__12334	2
CPD__45__12336	1
CPD__45__12331	1
CPD__45__12333	1
CPD__45__12332	1
CPD__45__12449	2
FE__43__3	14
FE__43__2	32
SUC__45__COA	38
PHYTOENE	2
_3__45__oxo__45__lignoceroyl__45__ACPs	2
CPD__45__3569	1
Aliphatic__45__aldehydes__45__or__45__ketones	1
CPD__45__3565	2
_23S__45__rRNA__45__2__45__O__45__methylcytidine1920	1
CPD__45__6082	7
D__45__SORBITOL__45__6__45__P	5
VERATRALDEHYDE	1
Intracellular__45__Sulfur	8
CPD__45__2748	3
CPD__45__2749	3
CPD__45__2742	7
CPD__45__2743	1
CPD__45__2747	1
CPD__45__2744	1
PQQ	3
Coagulin	1
Hydroperoxy__45__icosatetraenoates	2
CPD__45__6884	1
CPD__45__6886	1
CPD__45__6881	3
CPD__45__6883	2
CPD__45__6882	3
cis__45__cis__45__D9__45__27__45__3__45__hydroxyC46__45__2__45__ACPs	2
O__45__acetyl__45__ADP__45__riboses	1
COA__45__GROUP	2
Cytochromes__45__c3__45__Reduced	1
_2__45__UNDECANONE	1
CPD__45__13611	1
Cypemycin__45__C__45__Terminal__45__Cys	1
CPD__45__16607	1
DNA__45__Adenines	2
UBIQUINONE__45__10	2
DIIODO__45__4__45__HYDROXYPHENYLPYRUVATE	2
N__45__PHOSPHOGUANIDINOETHYL__45__METHYL__45__PHOSPHAT	1
_2__45__DEHYDRO__45__3__45__DEOXY__45__D__45__GALACTONATE	3
CPD__45__108	9
CPD__45__13314	2
CPD__45__13315	1
_4__45__CYTIDINE__45__5__45__DIPHOSPHO__45__2__45__C	2
CPD__45__14632	2
CPD__45__14321	1
CPD__45__14630	2
CPD__45__14631	2
CPD__45__14324	2
CPD__45__14325	1
CPD__45__14634	2
_4__45__PRENYLPHLORISOBUTYROPHENONE	2
CPD__45__14329	2
CPD__45__14638	1
D__45__myo__45__inositol__45__pentakisphosphates	1
CPD__45__8890	1
G__45__5__45__ppp__45__mRNA	1
_23S__45__rRNA__45__pseudouridine1915	1
DISCADENINE	1
CPD__45__102	2
CPD__45__12447	1
CPD__45__8892	6
Acetyl__45__CoA__45__carboxylase__45__phosphate	2
CPD__45__15684	2
CPD__45__13179	1
CPD__45__13174	3
CPD__45__13175	3
CPD__45__12444	1
CPD__45__13171	2
CPD__45__13172	4
CPD__45__13173	1
_3__45__CYANOPYRIDINE	2
CPD__45__8625	1
CPD__45__8624	1
CPD__45__105	1
Aromatic__45__Acid	3
CPD__45__8620	2
CPD__45__8725	1
_4__45__OXOGLUTARAMATE	2
CPD__45__8629	1
CPD__45__8628	1
CPD__45__14040	2
GLN__45__tRNAs	2
